2026-02-11 13:10:34 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=56
2026-02-11 13:10:34 | XMRUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=7
2026-02-11 13:10:34 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=34
2026-02-11 13:10:34 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=22
2026-02-11 13:10:34 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=22
2026-02-11 13:10:37 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=66
2026-02-11 13:11:12 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=20
2026-02-11 13:11:12 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=22
2026-02-11 13:11:12 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=24
2026-02-11 13:11:12 | XMRUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=9
2026-02-11 13:11:12 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=9
2026-02-11 13:11:13 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=61
2026-02-11 13:11:13 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=108
2026-02-11 13:11:50 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=24
2026-02-11 13:11:50 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=27
2026-02-11 13:11:50 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=44
2026-02-11 13:11:50 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.11%, vol=23
2026-02-11 13:11:51 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=2
2026-02-11 13:11:51 | XMRUSDT | Blocked by: orderbook_quality | spread=0.01%, vol=10
2026-02-11 13:11:51 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=105
2026-02-11 13:12:30 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=34
2026-02-11 13:12:30 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=3
2026-02-11 13:12:30 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=22
2026-02-11 13:12:30 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=40
